ticker,original
NVDA,NasdaqGS:NVDA
MSFT,NasdaqGS:MSFT
AAPL,NasdaqGS:AAPL
GOOGL,NasdaqGS:GOOGL
AMZN,NasdaqGS:AMZN
VTI,ARCA:VTI
VOO,ARCA:VOO
META,NasdaqGS:META
AVGO,NasdaqGS:AVGO
TSLA,NasdaqGS:TSLA
BRK.A,NYSE:BRK.A
JPM,NYSE:JPM
WMT,NYSE:WMT
ORCL,NYSE:ORCL
LLY,NYSE:LLY
IVV,ARCA:IVV
SPY,ARCA:SPY
V,NYSE:V
MA,NYSE:MA
NFLX,NasdaqGS:NFLX
XOM,NYSE:XOM
JNJ,NYSE:JNJ
ABBV,NYSE:ABBV
PLTR,NasdaqGS:PLTR
COST,NasdaqGS:COST
HD,NYSE:HD
QQQ,NasdaqGM:QQQ
BAC,NYSE:BAC
PG,NYSE:PG
VUG,ARCA:VUG
UNH,NYSE:UNH
GE,NYSE:GE
CVX,NYSE:CVX
VO,ARCA:VO
KO,NYSE:KO
IBM,NYSE:IBM
CSCO,NasdaqGS:CSCO
AMD,NasdaqGS:AMD
TMUS,NasdaqGS:TMUS
WFC,NYSE:WFC
MS,NYSE:MS
GS,NYSE:GS
PM,NYSE:PM
ABT,NYSE:ABT
CAT,NYSE:CAT
APP,NasdaqGS:APP
AXP,NYSE:AXP
CRM,NYSE:CRM
RTX,NYSE:RTX
MRK,NYSE:MRK
LIN,NasdaqGS:LIN
MCD,NYSE:MCD
MU,NasdaqGS:MU
SHOP,NasdaqGS:SHOP
VTV,ARCA:VTV
RY.TO,TSX:RY
TMO,NYSE:TMO
DIS,NYSE:DIS
UBER,NYSE:UBER
PEP,NasdaqGS:PEP
T,NYSE:T
INTU,NasdaqGS:INTU
NOW,NYSE:NOW
VZ,NYSE:VZ
LRCX,NasdaqGS:LRCX
ANET,NYSE:ANET
VEA,ARCA:VEA
QCOM,NasdaqGS:QCOM
C,NYSE:C
BLK,NYSE:BLK
BKNG,NasdaqGS:BKNG
AMAT,NasdaqGS:AMAT
INTC,NasdaqGS:INTC
SCHW,NYSE:SCHW
VB,ARCA:VB
NEE,NYSE:NEE
TXN,NasdaqGS:TXN
BA,NYSE:BA
ISRG,NasdaqGS:ISRG
GEV,NYSE:GEV
AMGN,NasdaqGS:AMGN
IEFA,BATS:IEFA
TJX,NYSE:TJX
PFE,NYSE:PFE
DHR,NYSE:DHR
ACN,NYSE:ACN
APH,NYSE:APH
SPGI,NYSE:SPGI
ETN,NYSE:ETN
ADBE,NasdaqGS:ADBE
KLAC,NasdaqGS:KLAC
BSX,NYSE:BSX
PGR,NYSE:PGR
SYK,NYSE:SYK
UNP,NYSE:UNP
SPOT,NYSE:SPOT
GILD,NasdaqGS:GILD
BND,NasdaqGM:BND
TD.TO,TSX:TD
PANW,NasdaqGS:PANW
LOW,NYSE:LOW
COF,NYSE:COF
VWO,ARCA:VWO
HON,NasdaqGS:HON
HOOD,NasdaqGS:HOOD
AGG,ARCA:AGG
BX,NYSE:BX
MDT,NYSE:MDT
DE,NYSE:DE
CRWD,NasdaqGS:CRWD
IWF,ARCA:IWF
GLD,ARCA:GLD
ADI,NasdaqGS:ADI
ADP,NasdaqGS:ADP
LMT,NYSE:LMT
COP,NYSE:COP
WELL,NYSE:WELL
VXF,ARCA:VXF
DASH,NasdaqGS:DASH
CMCSA,NasdaqGS:CMCSA
KKR,NYSE:KKR
CB,NYSE:CB
CEG,NasdaqGS:CEG
IEMG,ARCA:IEMG
VGT,ARCA:VGT
MO,NYSE:MO
MELI,NasdaqGS:MELI
ENB.TO,TSX:ENB
PLD,NYSE:PLD
VXUS,NasdaqGM:VXUS
NKE,NYSE:NKE
BN.TO,TSX:BN
SCCO,NYSE:SCCO
SO,NYSE:SO
VRTX,NasdaqGS:VRTX
MSTR,NasdaqGS:MSTR
IJH,ARCA:IJH
HCA,NYSE:HCA
MMC,NYSE:MMC
VIG,ARCA:VIG
CVS,NYSE:CVS
SBUX,NasdaqGS:SBUX
COIN,NasdaqGS:COIN
PH,NYSE:PH
DUK,NYSE:DUK
CME,NasdaqGS:CME
NEM,NYSE:NEM
IBIT,NasdaqGM:IBIT
CDNS,NasdaqGS:CDNS
TT,NYSE:TT
DELL,NYSE:DELL
BAM.TO,TSX:BAM
ICE,NYSE:ICE
BMY,NYSE:BMY
BMO.TO,TSX:BMO
GD,NYSE:GD
MCK,NYSE:MCK
XLK,ARCA:XLK
AMT,NYSE:AMT
ORLY,NasdaqGS:ORLY
WM,NYSE:WM
SPLG,ARCA:SPLG
NOC,NYSE:NOC
SNPS,NasdaqGS:SNPS
MCO,NYSE:MCO
IJR,ARCA:IJR
SHW,NYSE:SHW
RCL,NYSE:RCL
AEM,NYSE:AEM
RBLX,NYSE:RBLX
MMM,NYSE:MMM
CI,NYSE:CI
CTAS,NasdaqGS:CTAS
MDLZ,NasdaqGS:MDLZ
BNS.TO,TSX:BNS
CRH,NYSE:CRH
SNOW,NYSE:SNOW
AJG,NYSE:AJG
ELV,NYSE:ELV
WMB,NYSE:WMB
ECL,NYSE:ECL
AON,NYSE:AON
ITOT,ARCA:ITOT
PNC,NYSE:PNC
HWM,NYSE:HWM
EQIX,NasdaqGS:EQIX
EMR,NYSE:EMR
ITW,NYSE:ITW
CM.TO,TSX:CM
NET,NYSE:NET
MSI,NYSE:MSI
BK,NYSE:BK
USB,NYSE:USB
RSP,ARCA:RSP
MRVL,NasdaqGS:MRVL
NU,NYSE:NU
ABNB,NasdaqGS:ABNB
UPS,NYSE:UPS
MAR,NasdaqGS:MAR
TDG,NYSE:TDG
APO,NYSE:APO
SCHD,ARCA:SCHD
GLW,NYSE:GLW
CP.TO,TSX:CP
IWM,ARCA:IWM
JCI,NYSE:JCI
FNMA,OTCPK:FNMA
BNDX,NasdaqGM:BNDX
AZO,NYSE:AZO
RSG,NYSE:RSG
CRWV,NasdaqGS:CRWV
VEU,ARCA:VEU
FI,NYSE:FI
TRI.TO,TSX:TRI
EFA,ARCA:EFA
VST,NYSE:VST
ADSK,NasdaqGS:ADSK
NSC,NYSE:NSC
CSX,NasdaqGS:CSX
CNQ.TO,TSX:CNQ
VNQ,ARCA:VNQ
VV,ARCA:VV
VYM,ARCA:VYM
PYPL,NasdaqGS:PYPL
IVW,ARCA:IVW
FTNT,NasdaqGS:FTNT
MNST,NasdaqGS:MNST
TEL,NYSE:TEL
ZTS,NYSE:ZTS
IWD,ARCA:IWD
TRV,NYSE:TRV
QQQM,NasdaqGM:QQQM
KMI,NYSE:KMI
WDAY,NasdaqGS:WDAY
URI,NYSE:URI
CL,NYSE:CL
PWR,NYSE:PWR
REGN,NasdaqGS:REGN
SCHX,ARCA:SCHX
CSU.TO,TSX:CSU
VRT,NYSE:VRT
AEP,NasdaqGS:AEP
HLT,NYSE:HLT
EOG,NYSE:EOG
SPG,NYSE:SPG
APD,NYSE:APD
VBR,ARCA:VBR
CNR.TO,TSX:CNR
DLR,NYSE:DLR
IAU,ARCA:IAU
AFL,NYSE:AFL
ALNY,NasdaqGS:ALNY
SRE,NYSE:SRE
CMI,NYSE:CMI
CPNG,NYSE:CPNG
MPC,NYSE:MPC
COR,NYSE:COR
TFC,NYSE:TFC
ABX.TO,TSX:ABX
FDX,NYSE:FDX
NXPI,NasdaqGS:NXPI
TRP.TO,TSX:TRP
GM,NYSE:GM
FCX,NYSE:FCX
VCIT,NasdaqGM:VCIT
AXON,NasdaqGS:AXON
CMG,NYSE:CMG
LHX,NYSE:LHX
VT,ARCA:VT
ALL,NYSE:ALL
BDX,NYSE:BDX
O,NYSE:O
FAST,NasdaqGS:FAST
MET,NYSE:MET
MFC.TO,TSX:MFC
ROP,NasdaqGS:ROP
STX,NasdaqGS:STX
XLF,ARCA:XLF
PSX,NYSE:PSX
QUAL,BATS:QUAL
DDOG,NasdaqGS:DDOG
SCHF,ARCA:SCHF
D,NYSE:D
DHI,NYSE:DHI
CVNA,NYSE:CVNA
PCAR,NasdaqGS:PCAR
PSA,NYSE:PSA
SGOV,ARCA:SGOV
SLB,NYSE:SLB
SCHG,ARCA:SCHG
LNG,NYSE:LNG
IXUS,NasdaqGM:IXUS
CARR,NYSE:CARR
IDXX,NasdaqGS:IDXX
ATD.TO,TSX:ATD
F,NYSE:F
NDAQ,NasdaqGS:NDAQ
SU.TO,TSX:SU
RKT,NYSE:RKT
EA,NasdaqGS:EA
VLO,NYSE:VLO
WPM.TO,TSX:WPM
ROST,NasdaqGS:ROST
GRMN,NYSE:GRMN
TLT,NasdaqGM:TLT
VEEV,NYSE:VEEV
ZS,NasdaqGS:ZS
BKR,NasdaqGS:BKR
TTWO,NasdaqGS:TTWO
XEL,NasdaqGS:XEL
XYZ,NYSE:XYZ
WBD,NasdaqGS:WBD
L.TO,TSX:L
AMP,NYSE:AMP
OKE,NYSE:OKE
EXC,NasdaqGS:EXC
IMO.TO,TSX:IMO
CBRE,NYSE:CBRE
GWW,NYSE:GWW
WDC,NasdaqGS:WDC
FERG,NYSE:FERG
IWR,ARCA:IWR
EW,NYSE:EW
FLUT,NYSE:FLUT
AIG,NYSE:AIG
PAYX,NasdaqGS:PAYX
WCN,NYSE:WCN
FICO,NYSE:FICO
OXY,NYSE:OXY
MPWR,NasdaqGS:MPWR
KR,NYSE:KR
IWB,ARCA:IWB
CPRT,NasdaqGS:CPRT
SPYG,ARCA:SPYG
MSCI,NYSE:MSCI
CTVA,NYSE:CTVA
FANG,NasdaqGS:FANG
ETR,NYSE:ETR
NA.TO,TSX:NA
FNV.TO,TSX:FNV
AME,NYSE:AME
FFH.TO,TSX:FFH
EBAY,NasdaqGS:EBAY
BIL,ARCA:BIL
IVE,ARCA:IVE
YUM,NYSE:YUM
MBB,NasdaqGM:MBB
CCI,NYSE:CCI
JEPI,ARCA:JEPI
PEG,NYSE:PEG
KMB,NasdaqGS:KMB
RMD,NYSE:RMD
TGT,NYSE:TGT
VBK,ARCA:VBK
VMC,NYSE:VMC
A,NYSE:A
UI,NYSE:UI
VTEB,ARCA:VTEB
DIA,ARCA:DIA
HSY,NYSE:HSY
TEAM,NasdaqGS:TEAM
VCSH,NasdaqGM:VCSH
SYY,NYSE:SYY
BSV,ARCA:BSV
ROK,NYSE:ROK
FMCC,OTCPK:FMCC
HEI,NYSE:HEI
MUB,ARCA:MUB
RDDT,NYSE:RDDT
DFAC,ARCA:DFAC
IEF,NasdaqGM:IEF
MLM,NYSE:MLM
CHTR,NasdaqGS:CHTR
GWO.TO,TSX:GWO
SCHB,ARCA:SCHB
HIG,NYSE:HIG
CCL,NYSE:CCL
DAL,NYSE:DAL
AU,NYSE:AU
CAH,NYSE:CAH
CCO.TO,TSX:CCO
PRU,NYSE:PRU
XYL,NYSE:XYL
WEC,NYSE:WEC
LYV,NYSE:LYV
DOL.TO,TSX:DOL
XLV,ARCA:XLV
OTIS,NYSE:OTIS
CSGP,NasdaqGS:CSGP
MCHP,NasdaqGS:MCHP
ED,NYSE:ED
IQV,NYSE:IQV
KDP,NasdaqGS:KDP
LVS,NYSE:LVS
EQT,NYSE:EQT
GEHC,NasdaqGS:GEHC
PCG,NYSE:PCG
TRGP,NYSE:TRGP
FIS,NYSE:FIS
VICI,NYSE:VICI
VRSK,NasdaqGS:VRSK
DGRO,ARCA:DGRO
IFC.TO,TSX:IFC
PHYM.F,OTCPK:PHYM.F
WAB,NYSE:WAB
JPST,ARCA:JPST
HUM,NYSE:HUM
VG,NYSE:VG
WTW,NasdaqGS:WTW
SLF.TO,TSX:SLF
VGIT,NasdaqGM:VGIT
ACGL,NasdaqGS:ACGL
CRCL,NYSE:CRCL
ARES,NYSE:ARES
DD,NYSE:DD
ALAB,NasdaqGS:ALAB
IR,NYSE:IR
RJF,NYSE:RJF
INSM,NasdaqGS:INSM
IUSB,NasdaqGM:IUSB
CTSH,NasdaqGS:CTSH
STT,NYSE:STT
LEN,NYSE:LEN
SMH,NasdaqGM:SMH
VONG,NasdaqGM:VONG
HPE,NYSE:HPE
NRG,NYSE:NRG
NBIS,NasdaqGS:NBIS
EL,NYSE:EL
NUE,NYSE:NUE
VTR,NYSE:VTR
IBKR,NasdaqGS:IBKR
BRO,NYSE:BRO
MGK,ARCA:MGK
JEPQ,NasdaqGM:JEPQ
IRM,NYSE:IRM
SPDW,ARCA:SPDW
SMCI,NasdaqGS:SMCI
UAL,NasdaqGS:UAL
KHC,NasdaqGS:KHC
CVE.TO,TSX:CVE
K.TO,TSX:K
MTB,NYSE:MTB
KVUE,NYSE:KVUE
EXR,NYSE:EXR
SOFI,NasdaqGS:SOFI
SPYV,ARCA:SPYV
KEYS,NYSE:KEYS
VGK,ARCA:VGK
ODFL,NasdaqGS:ODFL
TSCO,NasdaqGS:TSCO
FITB,NasdaqGS:FITB
ADM,NYSE:ADM
EFX,NYSE:EFX
EME,NYSE:EME
WRB,NYSE:WRB
DTE,NYSE:DTE
GOVT,BATS:GOVT
NTR.TO,TSX:NTR
FIX,NYSE:FIX
K,NYSE:K
PSTG,NYSE:PSTG
ROL,NYSE:ROL
AEE,NYSE:AEE
TQQQ,NasdaqGM:TQQQ
LQD,ARCA:LQD
AWK,NYSE:AWK
OEF,ARCA:OEF
TDY,NYSE:TDY
BR,NYSE:BR
ATO,NYSE:ATO
POW.TO,TSX:POW
RKLB,NasdaqCM:RKLB
PHM,NYSE:PHM
PPL,NYSE:PPL
EXPE,NasdaqGS:EXPE
AVB,NYSE:AVB
EFV,BATS:EFV
MTD,NYSE:MTD
ES,NYSE:ES
CLS.TO,TSX:CLS
GIS,NYSE:GIS
VIK,NYSE:VIK
XLE,ARCA:XLE
XLC,ARCA:XLC
VLTO,NYSE:VLTO
FE,NYSE:FE
SYF,NYSE:SYF
DXCM,NasdaqGS:DXCM
FOXA,NasdaqGS:FOXA
MDB,NasdaqGM:MDB
FWON.K,NasdaqGS:FWON.K
FIG,NYSE:FIG
WSP.TO,TSX:WSP
JAAA,ARCA:JAAA
BIV,ARCA:BIV
CINF,NasdaqGS:CINF
EXE,NasdaqGS:EXE
VRSN,NasdaqGS:VRSN
USHY,BATS:USHY
CNP,NYSE:CNP
IUSG,NasdaqGM:IUSG
NTRS,NasdaqGS:NTRS
HBAN,NasdaqGS:HBAN
FTS.TO,TSX:FTS
TTD,NasdaqGM:TTD
LPLA,NasdaqGS:LPLA
GRAB,NasdaqGS:GRAB
LDOS,NYSE:LDOS
STZ,NYSE:STZ
CBOE,BATS:CBOE
FBTC,BATS:FBTC
ULTA,NasdaqGS:ULTA
IP,NYSE:IP
HPQ,NYSE:HPQ
CRDO,NasdaqGS:CRDO
IYW,ARCA:IYW
CYBR,NasdaqGS:CYBR
FSLR,NasdaqGS:FSLR
MKL,NYSE:MKL
XLY,ARCA:XLY
PPL.TO,TSX:PPL
AFRM,NasdaqGS:AFRM
PTC,NasdaqGS:PTC
WSM,NYSE:WSM
ZM,NasdaqGS:ZM
EQR,NYSE:EQR
SLV,ARCA:SLV
T.TO,TSX:T
SHY,NasdaqGM:SHY
STE,NYSE:STE
MDY,ARCA:MDY
HUBS,NYSE:HUBS
TPR,NYSE:TPR
NTAP,NasdaqGS:NTAP
PPG,NYSE:PPG
RF,NYSE:RF
XLI,ARCA:XLI
NVR,NYSE:NVR
TW,NasdaqGS:TW
BIIB,NasdaqGS:BIIB
WN.TO,TSX:WN
USMV,BATS:USMV
CFG,NYSE:CFG
TER,NasdaqGS:TER
ACWI,NasdaqGM:ACWI
VGSH,NasdaqGM:VGSH
IUSV,NasdaqGM:IUSV
LH,NYSE:LH
NTRA,NasdaqGS:NTRA
CG,NasdaqGS:CG
QSP.UN.TO,TSX:QSP.UN
DOV,NYSE:DOV
CGDV,ARCA:CGDV
IDEV,ARCA:IDEV
TROW,NasdaqGS:TROW
FCNC.A,NasdaqGS:FCNC.A
DRI,NYSE:DRI
QSR,NYSE:QSR
GDX,ARCA:GDX
IOT,NYSE:IOT
SATS,NasdaqGS:SATS
DG,NYSE:DG
HUBB,NYSE:HUBB
DVN,NYSE:DVN
AER,NYSE:AER
SW,NYSE:SW
IONQ,NYSE:IONQ
BCE.TO,TSX:BCE
PODD,NasdaqGS:PODD
TYL,NYSE:TYL
TPL,NYSE:TPL
PINS,NYSE:PINS
GBTC,ARCA:GBTC
JBL,NYSE:JBL
COWZ,BATS:COWZ
CMS,NYSE:CMS
CHKP,NasdaqGS:CHKP
XLU,ARCA:XLU
SSNC,NasdaqGS:SSNC
IGSB,NasdaqGM:IGSB
CHD,NYSE:CHD
H.TO,TSX:H
CIEN,NYSE:CIEN
TOST,NYSE:TOST
STLD,NasdaqGS:STLD
GPN,NYSE:GPN
GLDM,ARCA:GLDM
EIX,NYSE:EIX
FBND,ARCA:FBND
BE,NYSE:BE
BAP,NYSE:BAP
CASY,NasdaqGS:CASY
L,NYSE:L
TECK.B.TO,TSX:TECK.B
DYNF,ARCA:DYNF
FLEX,NasdaqGS:FLEX
DVY,NasdaqGM:DVY
PSKY,NasdaqGS:PSKY
CDW,NasdaqGS:CDW
LULU,NasdaqGS:LULU
IWP,ARCA:IWP
VOOG,ARCA:VOOG
HAL,NYSE:HAL
FNDX,ARCA:FNDX
VHT,ARCA:VHT
NI,NYSE:NI
SBAC,NasdaqGS:SBAC
EEM,ARCA:EEM
SHV,NasdaqGM:SHV
UTHR,NasdaqGS:UTHR
NTNX,NasdaqGS:NTNX
KEY,NYSE:KEY
CPAY,NYSE:CPAY
SDY,ARCA:SDY
CW,NYSE:CW
GIB.A.TO,TSX:GIB.A
IHPC.F,OTCPK:IHPC.F
ON,NasdaqGS:ON
RBA,NYSE:RBA
DGX,NYSE:DGX
TLN,NasdaqGS:TLN
ZBH,NYSE:ZBH
GFS,NasdaqGS:GFS
WST,NYSE:WST
WAT,NYSE:WAT
BNT,NYSE:BNT
RL,NYSE:RL
IT,NYSE:IT
TSN,NYSE:TSN
GWRE,NYSE:GWRE
GPC,NYSE:GPC
LII,NYSE:LII
VOE,ARCA:VOE
MTUM,BATS:MTUM
TRMB,NasdaqGS:TRMB
FM.TO,TSX:FM
PKG,NYSE:PKG
APTV,NYSE:APTV
SCHA,ARCA:SCHA
VFV.TO,TSX:VFV
AS,NYSE:AS
CNC,NYSE:CNC
RCI.B.TO,TSX:RCI.B
AMCR,NYSE:AMCR
AVUV,ARCA:AVUV
OKLO,NYSE:OKLO
PFG,NasdaqGS:PFG
SNDK,NasdaqGS:SNDK
AVAV,NasdaqGS:AVAV
GDDY,NYSE:GDDY
FFIV,NasdaqGS:FFIV
DKS,NYSE:DKS
MKC,NYSE:MKC
J,NYSE:J
ZG,NasdaqGS:ZG
VOT,ARCA:VOT
PNR,NYSE:PNR
DLTR,NasdaqGS:DLTR
ASTS,NasdaqGS:ASTS
WY,NYSE:WY
SNA,NYSE:SNA
FNDF,ARCA:FNDF
USFR,ARCA:USFR
THC,NYSE:THC
CTRA,NYSE:CTRA
COHR,NYSE:COHR
SGI,NYSE:SGI
WMG,NasdaqGS:WMG
EVRG,NasdaqGS:EVRG
DFUS,ARCA:DFUS
CRBG,NYSE:CRBG
DKNG,NasdaqGS:DKNG
INVH,NYSE:INVH
ETHA,NasdaqGM:ETHA
FTAI,NasdaqGS:FTAI
RDVY,NasdaqGM:RDVY
BSY,NasdaqGS:BSY
IWV,ARCA:IWV
LNT,NasdaqGS:LNT
USFD,NYSE:USFD
HYG,ARCA:HYG
GEN,NasdaqGS:GEN
LUV,NYSE:LUV
IEI,NasdaqGM:IEI
ACM,NYSE:ACM
BWXT,NYSE:BWXT
FTV,NYSE:FTV
ESS,NYSE:ESS
INCY,NasdaqGS:INCY
FRMI,NasdaqGS:FRMI
GFL.TO,TSX:GFL
DOW,NYSE:DOW
CGGR,ARCA:CGGR
BG,NYSE:BG
EXPD,NYSE:EXPD
MTZ,NYSE:MTZ
TOU.TO,TSX:TOU
NWSA,NasdaqGS:NWSA
ERIE,NasdaqGS:ERIE
RIVN,NasdaqGS:RIVN
PAAS.TO,TSX:PAAS
OKTA,NasdaqGS:OKTA
IGIB,NasdaqGM:IGIB
FTEC,ARCA:FTEC
RBRK,NYSE:RBRK
DGRW,NasdaqGM:DGRW
FNF,NYSE:FNF
SUI,NYSE:SUI
KTOS,NasdaqGS:KTOS
VTIP,NasdaqGM:VTIP
TKO,NYSE:TKO
BBY,NYSE:BBY
BURL,NYSE:BURL
IWY,ARCA:IWY
PFGC,NYSE:PFGC
U,NYSE:U
MAA,NYSE:MAA
CHRW,NasdaqGS:CHRW
IFF,NYSE:IFF
TEM,NasdaqGS:TEM
SMMT,NasdaqGM:SMMT
JBS,NYSE:JBS
LYB,NYSE:LYB
XLP,ARCA:XLP
TWLO,NYSE:TWLO
LUG.TO,TSX:LUG
NVT,NYSE:NVT
ILMN,NasdaqGS:ILMN
WSO,NYSE:WSO
FTI,NYSE:FTI
JOBY,NYSE:JOBY
RPRX,NasdaqGS:RPRX
CHWY,NYSE:CHWY
EWJ,ARCA:EWJ
ZBRA,NasdaqGS:ZBRA
TXT,NYSE:TXT
WWD,NasdaqGS:WWD
VMBS,NasdaqGM:VMBS
KLAR,NYSE:KLAR
YUMC,NYSE:YUMC
EQH,NYSE:EQH
SOXX,NasdaqGM:SOXX
ROKU,NasdaqGS:ROKU
DECK,NYSE:DECK
ALLE,NYSE:ALLE
HOLX,NasdaqGS:HOLX
SPHQ,ARCA:SPHQ
WPC,NYSE:WPC
CELH,NasdaqCM:CELH
XPO,NYSE:XPO
EMB,NasdaqGM:EMB
ICLR,NasdaqGS:ICLR
CLX,NYSE:CLX
TRU,NYSE:TRU
OMC,NYSE:OMC
ESGU,NasdaqGM:ESGU
RPM,NYSE:RPM
EG,NYSE:EG
MEDP,NasdaqGS:MEDP
ENTG,NasdaqGS:ENTG
DT,NYSE:DT
RS,NYSE:RS
USIG,NasdaqGM:USIG
DUOL,NasdaqGS:DUOL
PFF,NasdaqGM:PFF
WHLM.D,OTCPK:WHLM.D
MAS,NYSE:MAS
GSLC,ARCA:GSLC
EWBC,NasdaqGS:EWBC
CF,NYSE:CF
IVN.TO,TSX:IVN
SPEM,ARCA:SPEM
KIM,NYSE:KIM
SPMD,ARCA:SPMD
ULS,NYSE:ULS
ARE,NYSE:ARE
DPZ,NasdaqGS:DPZ
ZSP.TO,TSX:ZSP
SCHP,ARCA:SCHP
SNAP,NYSE:SNAP
MRU.TO,TSX:MRU
APG,NYSE:APG
EMA.TO,TSX:EMA
BBD.B.TO,TSX:BBD.B
AGI.TO,TSX:AGI
BBJP,BATS:BBJP
IWS,ARCA:IWS
ARCC,NasdaqGS:ARCC
BLDR,NYSE:BLDR
XIC.TO,TSX:XIC
HLI,NYSE:HLI
VONV,NasdaqGM:VONV
ITT,NYSE:ITT
GGG,NYSE:GGG
DFIV,ARCA:DFIV
H,NYSE:H
DOCU,NasdaqGS:DOCU
MINT,ARCA:MINT
COO,NasdaqGS:COO
TIP,ARCA:TIP
CSL,NYSE:CSL
JLL,NYSE:JLL
PHYS,ARCA:PHYS
SN,NYSE:SN
MG.TO,TSX:MG
SCHV,ARCA:SCHV
TOL,NYSE:TOL
ONON,NYSE:ONON
IREN,NasdaqGS:IREN
AVEM,ARCA:AVEM
DOCS,NYSE:DOCS
BALL,NYSE:BALL
CNH,NYSE:CNH
QXO,NYSE:QXO
NBIX,NasdaqGS:NBIX
HRL,NYSE:HRL
UNM,NYSE:UNM
XIU.TO,TSX:XIU
DOC,NYSE:DOC
JBHT,NasdaqGS:JBHT
NLY,NYSE:NLY
GLPI,NasdaqGS:GLPI
VTWO,NasdaqGM:VTWO
BF.B,NYSE:BF.B
RGLD,NasdaqGS:RGLD
UHS,NYSE:UHS
SPMO,ARCA:SPMO
IWO,ARCA:IWO
VFH,ARCA:VFH
NDSN,NasdaqGS:NDSN
SAIL,NasdaqGS:SAIL
STIP,ARCA:STIP
FN,NYSE:FN
EMXC,NasdaqGM:EMXC
RGA,NYSE:RGA
LECO,NasdaqGS:LECO
SOXL,ARCA:SOXL
LUN.TO,TSX:LUN
RGTI,NasdaqCM:RGTI
IQLT,ARCA:IQLT
REG,NasdaqGS:REG
MOAT,BATS:MOAT
SNX,NYSE:SNX
BINC,ARCA:BINC
JEF,NYSE:JEF
SPSM,ARCA:SPSM
VYMI,NasdaqGM:VYMI
SOLV,NYSE:SOLV
BAH,NYSE:BAH
AVY,NYSE:AVY
WYNN,NasdaqGS:WYNN
EVR,NYSE:EVR
AVDV,ARCA:AVDV
PULS,ARCA:PULS
MP,NYSE:MP
STN.TO,TSX:STN
IEX,NYSE:IEX
CNA,NYSE:CNA
TLH,ARCA:TLH
LAMR,NasdaqGS:LAMR
EHC,NYSE:EHC
AFG,NYSE:AFG
DFUV,ARCA:DFUV
BEN,NYSE:BEN
SCHM,ARCA:SCHM
CRS,NYSE:CRS
BAX,NYSE:BAX
